BeginHeader
   UnknownEvent/Classic,  TimeStamp,     Process Name ( PID),   ThreadID, CPU,                              EventGuid, Type, Level, Version, MofLength
   InvalidEvent/Classic,  TimeStamp,     Process Name ( PID),   ThreadID, CPU,                              EventGuid, Type, Level, Version, MofLength
   UnknownEvent/Crimson,  TimeStamp,     Process Name ( PID),   ThreadID, CPU,                             ProviderId,     Id,   Task, Opcode, Version, Channel, Level,            Keyword, UserDataLength
   InvalidEvent/Crimson,  TimeStamp,     Process Name ( PID),   ThreadID, CPU,                             ProviderId,     Id,   Task, Opcode, Version, Channel, Level,            Keyword, UserDataLength
PerfectHash/FoundNewBestGraph/win:Info,  TimeStamp,     Process Name ( PID),   ThreadID, CPU, etw:ActivityId, etw:Related ActivityId, etw:UserSid, etw:SessionId, KeysFileName, Attempt, SolutionNumber, ElapsedMilliseconds, CoverageType, CoverageValue, CoverageValueAsDouble, StopGraphSolving, IsBest, IsEqual, IsCoverageValueDouble, EqualCount, TotalNumberOfPages, TotalNumberOfLargePages, TotalNumberOfCacheLines, NumberOfUsedPages, NumberOfUsedLargePages, NumberOfUsedCacheLines, NumberOfEmptyPages, NumberOfEmptyLargePages, NumberOfEmptyCacheLines, FirstPageUsed, FirstLargePageUsed, FirstCacheLineUsed, LastPageUsed, LastLargePageUsed, LastCacheLineUsed, TotalNumberOfAssigned, NumberOfKeysWithVerticesMappingToSamePage, NumberOfKeysWithVerticesMappingToSameLargePage, NumberOfKeysWithVerticesMappingToSameCacheLine, MaxGraphTraversalDepth, TotalGraphTraversals, Seed1, Seed2, Seed3, Seed4, Seed5, Seed6, Seed7, Seed8, NumberOfAssignedPerCacheLineCounts_0, NumberOfAssignedPerCacheLineCounts_1, NumberOfAssignedPerCacheLineCounts_2, NumberOfAssignedPerCacheLineCounts_3, NumberOfAssignedPerCacheLineCounts_4, NumberOfAssignedPerCacheLineCounts_5, NumberOfAssignedPerCacheLineCounts_6, NumberOfAssignedPerCacheLineCounts_7, NumberOfAssignedPerCacheLineCounts_8, NumberOfAssignedPerCacheLineCounts_9, NumberOfAssignedPerCacheLineCounts_10, NumberOfAssignedPerCacheLineCounts_11, NumberOfAssignedPerCacheLineCounts_12, NumberOfAssignedPerCacheLineCounts_13, NumberOfAssignedPerCacheLineCounts_14, NumberOfAssignedPerCacheLineCounts_15, NumberOfAssignedPerCacheLineCounts_16, Slope, Intercept, CorrelationCoefficient, Score, Rank
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,  TimeStamp,     Process Name ( PID),   ThreadID, CPU, etw:ActivityId, etw:Related ActivityId, etw:UserSid, etw:SessionId, KeysFileName, Attempt, PageIndex, TotalNumberOfPages, CacheLine_01, CacheLine_02, CacheLine_03, CacheLine_04, CacheLine_05, CacheLine_06, CacheLine_07, CacheLine_08, CacheLine_09, CacheLine_10, CacheLine_11, CacheLine_12, CacheLine_13, CacheLine_14, CacheLine_15, CacheLine_16, CacheLine_17, CacheLine_18, CacheLine_19, CacheLine_20, CacheLine_21, CacheLine_22, CacheLine_23, CacheLine_24, CacheLine_25, CacheLine_26, CacheLine_27, CacheLine_28, CacheLine_29, CacheLine_30, CacheLine_31, CacheLine_32, CacheLine_33, CacheLine_34, CacheLine_35, CacheLine_36, CacheLine_37, CacheLine_38, CacheLine_39, CacheLine_40, CacheLine_41, CacheLine_42, CacheLine_43, CacheLine_44, CacheLine_45, CacheLine_46, CacheLine_47, CacheLine_48, CacheLine_49, CacheLine_50, CacheLine_51, CacheLine_52, CacheLine_53, CacheLine_54, CacheLine_55, CacheLine_56, CacheLine_57, CacheLine_58, CacheLine_59, CacheLine_60, CacheLine_61, CacheLine_62, CacheLine_63, CacheLine_64
                ImageId,  TimeStamp,     Process Name ( PID),           BaseAddr,  ImageSize, TimeDateStamp, OrigFileName
             DbgId/None,  TimeStamp,     Process Name ( PID),           BaseAddr
              DbgId/Bin,  TimeStamp,     Process Name ( PID),           BaseAddr,  ImageSize, TimeDateStamp,   Checksum, OrigFileName
              DbgId/Dbg,  TimeStamp,     Process Name ( PID),           BaseAddr,  ImageSize, TimeDateStamp,   Checksum, OrigFileName
             DbgId/NB10,  TimeStamp,     Process Name ( PID),           BaseAddr,  Signature,        Age, Pdb
             DbgId/RSDS,  TimeStamp,     Process Name ( PID),           BaseAddr,                              Signature,        Age, Pdb
           DbgId/ILRSDS,  TimeStamp,     Process Name ( PID),           BaseAddr,                              Signature,        Age, Pdb
        DbgId/RSDS(Tmf),  TimeStamp,                              Signature,        Age, Pdb
FirstReliableEventTimeStamp, TimeStamp
EndHeader
OS Version: 10.0.22621, Trace Size: 81920KB, Events Lost: 0, Buffers lost: 0, Trace Start: 133162466791295371, Trace Length: 83 sec, PointerSize: 8, Trace Name: c:\Temp\ph\exp4a\events.etl
FirstReliableEventTimeStamp, 0
   UnknownEvent/Classic,          0,        "Unknown" (20728),      47316,   0, {68fdd900-4a3e-11d1-84f4-0000f80464e3}, 0x50,  0x00,  0x0002, 48
PerfectHash/FoundNewBestGraph/win:Info,   20876158,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 1, 0, 36, 140547, 140547.000000, false, true, false, false, 0, 128, 1, 8192, 128, 1, 8078, 0, 0, 114, 0, 0, 0, 127, 0, 8191, 31015, 0, 0, 0, 0, 0, 2468748296, 2119274588, 1547, 0, 0, 0, 0, 0, 114, 521, 1226, 1832, 1883, 1357, 774, 335, 120, 21, 8, 1, 0, 0, 0, 0, 0, -82.375000, 1134.176471, -0.611428, 140547, 0.283224
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876171,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 1, 128, 3, 4, 2, 5, 4, 2, 2, 3, 4, 8, 3, 4, 4, 2, 3, 1, 6, 4, 5, 2, 2, 4, 7, 4, 4, 6, 2, 6, 2, 4, 3, 5, 3, 4, 6, 6, 4, 4, 5, 1, 2, 4, 4, 6, 4, 2, 3, 5, 4, 6, 6, 4, 4, 2, 4, 4, 2, 3, 7, 6, 3, 1, 6, 7
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876174,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 2, 128, 4, 5, 2, 5, 3, 4, 3, 3, 5, 6, 3, 5, 2, 5, 6, 3, 2, 3, 5, 7, 5, 5, 4, 3, 3, 3, 7, 5, 5, 4, 3, 2, 1, 7, 7, 1, 4, 2, 3, 5, 1, 7, 2, 4, 3, 7, 2, 6, 2, 3, 4, 3, 7, 8, 6, 6, 2, 8, 2, 5, 3, 3, 2, 3
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876177,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 3, 128, 3, 2, 5, 5, 5, 4, 7, 5, 4, 5, 4, 4, 4, 4, 2, 5, 4, 4, 7, 3, 3, 6, 3, 5, 7, 5, 5, 5, 4, 4, 5, 2, 1, 7, 5, 5, 6, 5, 9, 7, 4, 3, 3, 5, 2, 4, 3, 6, 4, 4, 3, 6, 5, 0, 5, 4, 5, 1, 6, 3, 6, 5, 2, 4
