,LineNumber,TimeStamp,ProcessID,ThreadID,CPU,ActivityId,KeysFileName,Attempt,SolutionNumber,ElapsedMilliseconds,CoverageType,CoverageValue,CoverageValueAsDouble,StopGraphSolving,IsBest,IsEqual,IsCoverageValueDouble,EqualCount,TotalNumberOfPages,TotalNumberOfLargePages,TotalNumberOfCacheLines,NumberOfUsedPages,NumberOfUsedLargePages,NumberOfUsedCacheLines,NumberOfEmptyPages,NumberOfEmptyLargePages,NumberOfEmptyCacheLines,FirstPageUsed,FirstLargePageUsed,FirstCacheLineUsed,LastPageUsed,LastLargePageUsed,LastCacheLineUsed,TotalNumberOfAssigned,NumberOfKeysWithVerticesMappingToSamePage,NumberOfKeysWithVerticesMappingToSameLargePage,NumberOfKeysWithVerticesMappingToSameCacheLine,MaxGraphTraversalDepth,TotalGraphTraversals,Seed1,Seed2,Seed3,Seed4,Seed5,Seed6,Seed7,Seed8,NumberOfAssignedPerCacheLineCounts_0,NumberOfAssignedPerCacheLineCounts_1,NumberOfAssignedPerCacheLineCounts_2,NumberOfAssignedPerCacheLineCounts_3,NumberOfAssignedPerCacheLineCounts_4,NumberOfAssignedPerCacheLineCounts_5,NumberOfAssignedPerCacheLineCounts_6,NumberOfAssignedPerCacheLineCounts_7,NumberOfAssignedPerCacheLineCounts_8,NumberOfAssignedPerCacheLineCounts_9,NumberOfAssignedPerCacheLineCounts_10,NumberOfAssignedPerCacheLineCounts_11,NumberOfAssignedPerCacheLineCounts_12,NumberOfAssignedPerCacheLineCounts_13,NumberOfAssignedPerCacheLineCounts_14,NumberOfAssignedPerCacheLineCounts_15,NumberOfAssignedPerCacheLineCounts_16,Slope,Intercept,CorrelationCoefficient,Score,Rank,Seed3_Byte1,Seed3_Byte2,Seed3_Byte3,Seed3_Byte4,Seed6_Byte1,Seed6_Byte2,Seed6_Byte3,Seed6_Byte4
0,4,2022-12-22 21:25:00.005696,44996,43160,6,{6814a193-f8c2-f331-350f-54e5d0ed9304},HologramWorld-31016.keys,34,1,0,36,140547,140547.0,False,True,False,False,0,128,1,8192,128,1,8078,0,0,114,0,0,0,127,0,8191,31015,0,0,0,0,0,2468748296,2119274588,1547,0,0,0,0,0,114,521,1226,1832,1883,1357,774,335,120,21,8,1,0,0,0,0,0,-82.375,1134.176471,-0.611428,140547,0.283224,11,6,0,0,0,0,0,0
1,133,2022-12-22 21:25:00.018726,44996,43180,5,{d0aec975-4ee5-eeab-d7f8-945da931e152},HologramWorld-31016.keys,23,4,16,36,140892,140892.0,False,True,False,False,0,128,1,8192,128,1,8088,0,0,104,0,0,0,127,0,8191,31016,0,0,0,0,0,3267252966,3219037265,1293,0,0,0,0,0,104,539,1262,1815,1806,1420,739,351,121,26,8,1,0,0,0,0,0,-82.568627,1136.313725,-0.617615,140892,0.28391,13,5,0,0,0,0,0,0
2,262,2022-12-22 21:25:00.023042,44996,26124,22,{1442fc4b-834a-c719-d36b-0f9eaaa4757a},HologramWorld-31016.keys,435,5,16,36,141240,141240.0,False,True,False,False,0,128,1,8192,128,1,8072,0,0,120,0,0,0,127,0,8191,31016,0,0,0,0,0,3521884445,1691496501,1033,0,0,0,0,0,120,548,1231,1804,1808,1434,764,324,106,41,11,0,0,1,0,0,0,-82.254902,1132.862745,-0.616449,141240,0.284611,9,4,0,0,0,0,0,0
3,391,2022-12-22 21:25:00.025320,44996,9916,3,{c6b8580a-7518-c149-4f9a-c49a29c2c2b4},HologramWorld-31016.keys,496,7,31,36,141713,141713.0,False,True,False,False,0,128,1,8192,128,1,8061,0,0,131,0,0,0,127,0,8191,31015,0,0,0,0,0,3615953102,3491988071,3343,0,0,0,0,0,131,547,1249,1786,1840,1331,773,373,120,34,6,2,0,0,0,0,0,-82.041667,1130.509804,-0.620347,141713,0.285574,15,13,0,0,0,0,0,0
4,520,2022-12-22 21:25:00.060163,44996,47464,10,{4c862e8d-b913-9967-8de2-8a5eaded7b3a},HologramWorld-31016.keys,1297,24,63,36,142834,142834.0,False,True,False,False,0,128,1,8192,128,1,8058,0,0,134,0,0,0,127,0,8191,31016,0,0,0,0,0,1854416749,4096263052,2310,0,0,0,0,0,134,608,1257,1707,1806,1328,813,353,133,37,14,1,1,0,0,0,0,-81.980392,1129.843137,-0.631584,142834,0.287823,6,9,0,0,0,0,0,0
5,649,2022-12-22 21:25:00.067247,44996,43412,22,{20127519-77f8-48df-521e-b47df0f97d01},HologramWorld-31016.keys,1465,26,63,36,145071,145071.0,False,True,False,False,0,128,1,8192,128,1,8019,0,0,173,0,0,0,127,0,8191,31015,0,0,0,0,0,4206069266,3840382291,3078,0,0,0,0,0,173,670,1284,1618,1681,1327,799,417,167,46,9,1,0,0,0,0,0,-81.218137,1121.45098,-0.650412,145071,0.29234,6,12,0,0,0,0,0,0
6,778,2022-12-22 21:25:00.241738,44996,48028,14,{68aff2a6-f0e7-7198-1207-0b84b5029946},HologramWorld-31016.keys,6100,107,234,36,205750,205750.0,False,True,False,False,0,128,1,8192,128,1,6565,0,0,1627,0,0,0,127,0,8189,31016,0,0,0,0,0,3149070489,2491988953,2320,0,0,0,0,0,1627,1586,723,325,353,612,801,811,625,395,214,87,27,6,0,0,0,-52.705882,807.823529,-0.613858,205750,0.414605,16,9,0,0,0,0,0,0
7,907,2022-12-22 21:25:02.327101,44996,43160,6,{bdade361-3030-580b-6381-e13bf427382d},HologramWorld-31016.keys,64565,1164,2328,36,206490,206490.0,False,True,False,False,0,128,1,8192,128,1,6529,0,0,1663,0,0,0,127,0,8191,31016,0,0,0,0,0,4023502433,3195028042,3088,0,0,0,0,0,1663,1518,728,366,405,597,745,780,611,424,243,82,20,7,3,0,0,-52.0,800.058824,-0.631786,206490,0.416096,16,12,0,0,0,0,0,0
8,1036,2022-12-22 21:25:08.776074,44996,42900,11,{33d450a5-9e9d-2626-3fae-894f4128a0d7},HologramWorld-31016.keys,250578,4375,8781,36,206595,206595.0,False,True,False,False,0,128,1,8192,128,1,6480,0,0,1712,0,0,0,127,0,8188,31015,0,0,0,0,0,4163833147,817394496,2064,0,0,0,0,0,1712,1507,701,317,363,638,797,761,638,432,206,94,20,6,0,0,0,-51.041667,789.509804,-0.61708,206595,0.416321,16,8,0,0,0,0,0,0
9,1165,2022-12-22 21:25:11.894502,44996,43712,18,{2645b6c9-04da-39dd-78c0-6143f97fcb3d},HologramWorld-31016.keys,342006,5921,11891,36,206623,206623.0,False,True,False,False,0,128,1,8192,128,1,6454,0,0,1738,0,0,0,127,0,8191,31015,0,0,0,0,0,2980109405,2643007503,1808,0,0,0,0,0,1738,1488,710,289,373,593,778,831,685,409,188,70,33,7,0,0,0,-50.531863,783.901961,-0.608242,206623,0.416377,16,7,0,0,0,0,0,0
10,1294,2022-12-22 21:25:13.591134,44996,43160,6,{68aff2a6-f0e7-7198-1207-0b84b5029946},HologramWorld-31016.keys,391839,6742,13594,36,207238,207238.0,False,True,False,False,0,128,1,8192,128,1,6481,0,0,1711,0,0,0,127,0,8190,31016,0,0,0,0,0,4019870541,2390143466,2320,0,0,0,0,0,1711,1504,725,323,354,625,781,753,657,413,230,83,22,9,2,0,0,-51.058824,789.705882,-0.618926,207238,0.417603,16,9,0,0,0,0,0,0
11,1423,2022-12-22 21:25:13.705945,44996,37832,22,{6affd786-6bfe-aac8-d7c4-e5db7e460341},HologramWorld-31016.keys,395195,6807,13703,36,213346,213346.0,False,True,False,False,0,128,1,8192,128,1,6585,0,0,1607,0,0,0,127,0,8190,31016,0,0,0,0,0,2944710239,1251430772,3088,0,0,0,0,0,1607,1567,827,453,471,568,606,584,538,435,266,170,67,28,4,1,0,-53.098039,812.137255,-0.661314,213346,0.429911,16,12,0,0,0,0,0,0
12,1552,2022-12-22 21:25:57.448526,44996,41696,11,{822f7e2d-3db3-7d3c-91a1-8fa81e3ae15f},HologramWorld-31016.keys,1648720,28373,57453,36,250036,250036.0,True,True,False,False,0,128,1,8192,128,1,7010,0,0,1182,0,0,0,127,0,8188,31016,0,0,0,0,0,465824673,1059913768,1809,0,0,0,0,0,1182,1981,1617,881,369,103,52,116,214,330,370,405,334,163,50,21,4,-61.431373,903.803922,-0.544976,250036,0.503845,17,7,0,0,0,0,0,0
